Product_Name,Sex,Listing_Price,Sale_Price,Price_Difference,Discount,Brand,Catetory_Production,Rating,Reviews
"MEN'S ADIDAS ORIGINALS SUPERSTAR 80S SHOES",Male,8999,4499,4500,50%,ADIDAS,"ADIDAS ORIGINALS",4.5,61
"MEN'S ADIDAS ORIGINALS DEERUPT RUNNER SHOES",Male,9999,4999,5000,50%,ADIDAS,"ADIDAS ORIGINALS",3.3,58
"MEN'S ADIDAS ORIGINALS SUPERSTAR 80S CLEAN SHOES",Male,8999,4499,4500,50%,ADIDAS,"ADIDAS ORIGINALS",3.3,11
"MEN'S ADIDAS ORIGINALS NMD_CS1 PRIMEKNIT SHOES",Male,14999,7499,7500,50%,ADIDAS,"ADIDAS ORIGINALS",3.5,81
"MEN'S ADIDAS ORIGINALS SKATEBOARDING SEELEY SHOES",Male,5999,2999,3000,50%,ADIDAS,"ADIDAS ORIGINALS",2.9,30
"MEN'S ADIDAS ORIGINALS CAMPUS SHOES",Male,7999,3999,4000,50%,ADIDAS,"ADIDAS ORIGINALS",3.3,52
"MEN'S ADIDAS ORIGINALS POD-S3.1 SHOES",Male,12999,6499,6500,50%,ADIDAS,"ADIDAS ORIGINALS",4.8,50
"MEN'S ADIDAS ORIGINALS CAMPUS PRIDE SHOES",Male,7999,3999,4000,50%,ADIDAS,"ADIDAS ORIGINALS",3.7,2
"Men's adidas Originals A.R. Trainer Shoes",Male,8999,4499,4500,50%,ADIDAS,"ADIDAS ORIGINALS",2.4,50
"Men's adidas Originals N-5923 Shoes",Male,7599,3799,3800,50%,ADIDAS,"ADIDAS ORIGINALS",2.9,2
"Men's adidas Originals Campus Shoes",Male,7999,3999,4000,50%,ADIDAS,"ADIDAS ORIGINALS",3.4,3
"Men's adidas Originals EQT Support Mid ADV Shoes",Male,9999,4999,5000,50%,ADIDAS,"ADIDAS ORIGINALS",2.4,90
"Men's adidas Originals Micropacer X R1 Shoes",Male,18999,9499,9500,50%,ADIDAS,"ADIDAS ORIGINALS",4.6,66
"Men's adidas Originals Yung-96 Shoes",Male,8599,4299,4300,50%,ADIDAS,"ADIDAS ORIGINALS",4,47
"Men's adidas Football Predator 19.3 Turf Boots",Male,6599,3959,2640,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",2.4,63
"Men's adidas Originals Earlham SPZL Shoes",Male,10999,5499,5500,50%,ADIDAS,"ADIDAS ORIGINALS",3.4,46
"Men's adidas Originals X_PLR Shoes",Male,7999,3999,4000,50%,ADIDAS,"ADIDAS ORIGINALS",2,56
"MEN'S ADIDAS RUNNING ARGECY SHOES",Male,5599,2799,2800,50%,ADIDAS,"ADIDAS CORE/NEO",3.1,86
"Men's adidas RUNNING ZETA 1.0 SHOES",Male,5999,2999,3000,50%,ADIDAS,"ADIDAS CORE/NEO",3.1,33
"men's ADIDAS RUNNING ZETA 1.0 SHOES",Male,5999,2999,3000,50%,ADIDAS,"ADIDAS CORE/NEO",3,0
"Men's adidas Sport Inspired Cloudfoam Racer TR Shoes",Male,5999,2999,3000,50%,ADIDAS,"ADIDAS CORE/NEO",3.3,39
"Men's adidas Running 8K Shoes",Male,5599,2799,2800,50%,ADIDAS,"ADIDAS CORE/NEO",1,34
"men's ADIDAS ORIGINALS PW HU HOLI STAN SMITH SHOES",Male,9999,4999,5000,50%,ADIDAS,"ADIDAS ORIGINALS",3.7,78
"MEN'S ADIDAS RUNNING ZETA 1.0 SHOES",Male,5999,2999,3000,50%,ADIDAS,"ADIDAS CORE/NEO",3.6,10
"Men's adidas Sport Inspired Cloudfoam Racer TR Shoes",Male,5999,2999,3000,50%,ADIDAS,"ADIDAS CORE/NEO",1.5,2
"MEN'S ADIDAS RUNNING PUARO SHOES",Male,4999,2499,2500,50%,ADIDAS,"ADIDAS CORE/NEO",3.1,56
"MEN'S ADIDAS RUNNING ADISTARK 3.0 SHOES",Male,3999,1999,2000,50%,ADIDAS,"ADIDAS CORE/NEO",4,30
"Men's adidas Sport Inspired Zelt 2.0 Slip-Ons",Male,4799,2399,2400,50%,ADIDAS,"ADIDAS CORE/NEO",3.9,18
"Men's adidas Originals Supercourt Shoes",Male,7599,4559,3040,40%,ADIDAS,"ADIDAS ORIGINALS",2.9,83
"Men's adidas Running Zeta 1.0 Shoes",Male,5999,2999,3000,50%,ADIDAS,"ADIDAS CORE/NEO",3,88
"Men's adidas Originals Nite Jogger Shoes",Male,12999,7799,5200,40%,ADIDAS,"ADIDAS ORIGINALS",2.9,98
"Men's adidas Originals Yung-1 Shoes",Male,10999,6599,4400,40%,ADIDAS,"ADIDAS ORIGINALS",4.2,82
